episode,timestep,reward
1,2000,-100.0
3,4000,-100.0
5,6000,-100.0
7,8000,-100.0
9,10000,-100.0
11,12000,-100.0
13,14000,-100.0
15,16000,-100.0
17,18000,-100.0
19,20000,-100.0
21,22000,-100.0
23,24000,-100.0
25,26000,-100.0
27,28000,-100.0
29,30000,-100.0
31,32000,-100.0
33,34000,-100.0
35,36000,-100.0
37,38000,-100.0
39,40000,-100.0
41,42000,-100.0
43,44000,-100.0
45,46000,-100.0
47,48000,-100.0
49,50000,-100.0
51,52000,-100.0
53,54000,-100.0
55,56000,-100.0
57,58000,-100.0
59,60000,-100.0
61,62000,-100.0
63,64000,-100.0
65,66000,-100.0
67,68000,-100.0
69,70000,-100.0
71,72000,-100.0
73,74000,-100.0
75,76000,-100.0
77,78000,-100.0
79,80000,-100.0
81,82000,-100.0
83,84000,-100.0
85,86000,-100.0
87,88000,-100.0
89,90000,-100.0
91,92000,-100.0
93,94000,-100.0
95,96000,-100.0
97,98000,-100.0
99,100000,-100.0
101,102000,-100.0
103,104000,-100.0
105,106000,-100.0
107,108000,-100.0
109,110000,-100.0
111,112000,-100.0
113,114000,-100.0
115,116000,-100.0
117,118000,-100.0
119,120000,-100.0
121,122000,-100.0
123,124000,-100.0
125,126000,-100.0
127,128000,-100.0
129,130000,-100.0
131,132000,-100.0
133,134000,-100.0
135,136000,-100.0
137,138000,-100.0
139,140000,-100.0
141,142000,-100.0
143,144000,-100.0
145,146000,-100.0
147,148000,-100.0
149,150000,-100.0
151,152000,-100.0
153,154000,-100.0
155,156000,-100.0
157,158000,-100.0
159,160000,-100.0
161,162000,-100.0
163,164000,-100.0
165,166000,-100.0
167,168000,-100.0
169,170000,-100.0
171,172000,-100.0
173,174000,-100.0
175,176000,-100.0
177,178000,-100.0
179,180000,-100.0
181,182000,-100.0
183,184000,-100.0
185,186000,-100.0
187,188000,-100.0
189,190000,-100.0
191,192000,-100.0
193,194000,-100.0
195,196000,-100.0
197,198000,-100.0
199,200000,-100.0
201,202000,-100.0
203,204000,-100.0
205,206000,-100.0
207,208000,-100.0
209,210000,-100.0
