
Hello world from worker
{'generation': 0, 'prev_gen_fit_1': -108.29999999999995, 'mut_gen_fit_1': -45.39999999999996, 'prev_gen_fit_2': -113.0333333333333, 'mut_gen_fit_2': -45.39999999999996, 'team_player1and2hofg': -9.599999999999982, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 1, 'prev_gen_fit_1': -22.8666666666668, 'mut_gen_fit_1': -18.033333333333406, 'prev_gen_fit_2': -22.8666666666668, 'mut_gen_fit_2': -17.70000000000008, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 2, 'prev_gen_fit_1': -38.03333333333331, 'mut_gen_fit_1': -70.93333333333334, 'prev_gen_fit_2': -38.03333333333331, 'mut_gen_fit_2': -10.499999999999979, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 3, 'prev_gen_fit_1': -37.46666666666665, 'mut_gen_fit_1': -69.53333333333333, 'prev_gen_fit_2': -37.46666666666665, 'mut_gen_fit_2': -69.03333333333335, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 4, 'prev_gen_fit_1': -37.36666666666665, 'mut_gen_fit_1': -68.93333333333334, 'prev_gen_fit_2': -37.36666666666665, 'mut_gen_fit_2': -37.566666666666656, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 5, 'prev_gen_fit_1': -37.36666666666665, 'mut_gen_fit_1': -37.433333333333316, 'prev_gen_fit_2': -37.36666666666665, 'mut_gen_fit_2': -74.16666666666666, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 6, 'prev_gen_fit_1': -37.36666666666665, 'mut_gen_fit_1': -72.33333333333331, 'prev_gen_fit_2': -37.36666666666665, 'mut_gen_fit_2': -71.23333333333333, 'team_player1and2hofg': -3.5000000000000018, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 7, 'prev_gen_fit_1': -37.36666666666665, 'mut_gen_fit_1': -72.33333333333331, 'prev_gen_fit_2': -37.36666666666665, 'mut_gen_fit_2': -71.23333333333333, 'team_player1and2hofg': -3.5000000000000018, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 8, 'prev_gen_fit_1': -37.36666666666665, 'mut_gen_fit_1': -69.96666666666667, 'prev_gen_fit_2': -37.36666666666665, 'mut_gen_fit_2': -68.83333333333334, 'team_player1and2hofg': -3.5000000000000018, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 9, 'prev_gen_fit_1': -37.36666666666665, 'mut_gen_fit_1': -73.33333333333333, 'prev_gen_fit_2': -37.36666666666665, 'mut_gen_fit_2': -70.66666666666666, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 10, 'prev_gen_fit_1': -37.36666666666665, 'mut_gen_fit_1': -73.33333333333333, 'prev_gen_fit_2': -37.36666666666665, 'mut_gen_fit_2': -70.66666666666666, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 11, 'prev_gen_fit_1': -37.36666666666665, 'mut_gen_fit_1': -68.83333333333333, 'prev_gen_fit_2': -37.36666666666665, 'mut_gen_fit_2': -41.866666666666646, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 12, 'prev_gen_fit_1': -37.36666666666665, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.36666666666665, 'mut_gen_fit_2': -37.39999999999999, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 13, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -69.23333333333333, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -41.86666666666663, 'team_player1and2hofg': -3.5000000000000018, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 14, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -69.23333333333333, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -41.86666666666663, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 15, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -69.23333333333333, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -41.86666666666663, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 16, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.36666666666665, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -69.23333333333333, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 17, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.39999999999998, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -73.53333333333332, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 18, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.36666666666665, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.36666666666665, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 19, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -71.6, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -70.7, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 20, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.39999999999998, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -3.5000000000000018, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 21, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.39999999999998, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 22, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.39999999999998, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -37.33333333333331, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 23, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -68.8, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -68.76666666666667, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 24, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -37.33333333333331, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -69.26666666666667, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
{'generation': 25, 'prev_gen_fit_1': -37.33333333333331, 'mut_gen_fit_1': -68.83333333333334, 'prev_gen_fit_2': -37.33333333333331, 'mut_gen_fit_2': -68.76666666666667, 'team_player1and2hofg': -8.199999999999987, 'goal_reaches': 0, 'wall_pass': 0}
